update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what,update/5/when,update/5/what
1168447903,Platform,1177320595,JDT,170146,,,,,,,,
1169721990,Platform,1177321507,JDT,171703,,,,,,,,
1170143419,Platform,1177326722,JDT,172160,,,,,,,,
1170235141,Platform,1177327054,JDT,172324,,,,,,,,
1171519860,Platform,1177329149,JDT,174282,,,,,,,,
1171851337,Platform,1177329192,JDT,174599,,,,,,,,
1172196012,Platform,1177329593,JDT,175226,,,,,,,,
1172507971,Platform,1177329636,JDT,175610,,,,,,,,
1172620238,Platform,1177329870,JDT,175789,,,,,,,,
1173070435,Platform,1177330338,JDT,176355,,,,,,,,
1173429722,Platform,1177330615,JDT,176824,,,,,,,,
1173430995,Platform,1177330656,JDT,176827,,,,,,,,
1173469907,Platform,1177330717,JDT,176877,,,,,,,,
1173793904,Platform,1177330955,JDT,177191,,,,,,,,
1175733737,Platform,1177332579,JDT,181127,,,,,,,,
1176289478,Platform,1177333269,JDT,181977,,,,,,,,
1176912149,Platform,1177334222,JDT,183074,,,,,,,,
1177157704,Platform,1177334332,JDT,183508,,,,,,,,
1177243070,Platform,1177334385,JDT,183536,,,,,,,,
1177064971,PDE,1177359872,JDT,183413,,,,,,,,
1177459755,JDT,1177491679,Platform,183925,1177578849,JDT,,,,,,
1174542147,Platform,1177496639,JDT,178754,,,,,,,,
1177376863,Platform,1177506566,JDT,183727,,,,,,,,
1177511254,Platform,1177548905,JDT,184115,,,,,,,,
1177531025,Platform,1177685319,JDT,184146,,,,,,,,
1177640932,Platform,1177685884,JDT,184382,,,,,,,,
1177680154,Platform,1177686066,JDT,184506,,,,,,,,
1177433314,PDE,1177943650,JDT,183878,,,,,,,,
1178033555,Platform,1178086873,JDT,184991,1178090413,Platform,1178090736,JDT,1178091156,Platform,1178137811,JDT
1176283611,Platform,1178089498,JDT,181954,,,,,,,,
1178028859,Platform,1178099855,JDT,184971,,,,,,,,
1166171929,Platform,1178527196,JDT,168208,,,,,,,,
1162262203,Platform,1178528611,JDT,162856,,,,,,,,
1178722485,PDE,1178723727,JDT,186254,,,,,,,,
1178769555,Platform,1178774078,JDT,186329,,,,,,,,
1178677625,Platform,1178796353,JDT,186087,,,,,,,,
1178720881,Platform,1178796778,JDT,186251,,,,,,,,
1178744209,Platform,1178796822,JDT,186291,,,,,,,,
1178819140,Platform,1178820195,JDT,186473,,,,,,,,
1178808273,Platform,1178893641,JDT,186457,,,,,,,,
1177678044,Platform,1179214235,JDT,184502,,,,,,,,
1179237745,JDT,1179275319,Platform,187101,1179939496,JDT,,,,,,
1179289202,Platform,1179302353,JDT,187223,,,,,,,,
1179311929,Platform,1179313072,JDT,187306,,,,,,,,
1179712967,JDT,1179713530,Platform,188044,1179715795,JDT,,,,,,
1179467693,Platform,1179824349,JDT,187788,,,,,,,,
1179578605,Platform,1179825029,JDT,187969,,,,,,,,
1179849090,Platform,1179852881,JDT,188485,,,,,,,,
1179905626,Platform,1179921233,JDT,188638,,,,,,,,
1180526421,PDE,1180530831,JDT,189987,,,,,,,,
1180291978,CDT,1180618394,Platform,189329,1180705780,JDT,,,,,,
1181010517,Platform,1181014380,JDT,190978,,,,,,,,
1181004123,Platform,1181021057,JDT,190962,,,,,,,,
1181013624,PDE,1181037456,JDT,190986,,,,,,,,
1178006040,Platform,1181041061,JDT,184856,,,,,,,,
1181061706,Platform,1181068024,JDT,191138,,,,,,,,
1181097829,JDT,1181102959,Equinox,191193,1181165354,JDT,,,,,,
1181125361,Platform,1181134018,JDT,191297,,,,,,,,
1181202996,JDT,1181279432,Platform,191480,1182348472,JDT,,,,,,
1181299145,Platform,1181299732,JDT,191739,,,,,,,,
1181352285,Platform,1181373011,JDT,191804,,,,,,,,
1181590907,Platform,1181742555,JDT,192072,,,,,,,,
1182104959,Platform,1182142144,JDT,193045,,,,,,,,
1181911355,Platform,1182168289,JDT,192953,,,,,,,,
1181259748,Platform,1182348505,JDT,191639,,,,,,,,
1167202275,Platform,1182409271,JDT,169121,,,,,,,,
