update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what
1148461657,blocker,1148980272,major,143480,,,,,,
1148889119,normal,1148987993,major,144225,,,,,,
1149130145,major,1149131770,critical,144851,1149188522,major,,,,
1149162767,normal,1149232060,trivial,144926,1149674959,minor,,,,
1149229810,normal,1149243143,major,145049,,,,,,
1148414348,major,1149334384,normal,143382,,,,,,
1149489226,normal,1149489383,minor,145326,,,,,,
1149578119,major,1149578324,critical,145526,,,,,,
1149178171,normal,1149598909,critical,144991,,,,,,
1149599657,critical,1149672020,blocker,145605,1149673145,critical,,,,
1149679140,normal,1149749167,major,145807,,,,,,
1148562842,normal,1149762390,major,143805,,,,,,
1145282140,major,1149804967,blocker,137064,,,,,,
1141103518,critical,1149853203,normal,129755,,,,,,
1150189699,normal,1150191252,major,146843,,,,,,
1150187269,major,1150249293,normal,146833,,,,,,
1147900040,normal,1150280443,major,142395,,,,,,
1147962548,major,1150287512,normal,142623,1181282175,major,,,,
1149084745,normal,1150379564,major,144765,,,,,,
1150359533,blocker,1150379800,major,147295,,,,,,
1150458178,normal,1150697119,major,147488,,,,,,
1149053811,enhancement,1150701480,blocker,144638,,,,,,
1150332815,normal,1150725485,major,147232,,,,,,
1150853166,critical,1150872065,normal,147994,,,,,,
1150872289,normal,1150872373,major,148025,,,,,,
1144925763,normal,1150894484,major,136686,,,,,,
1150987081,critical,1151081494,major,148297,,,,,,
1150274071,normal,1151302444,major,147056,,,,,,
1151061162,normal,1151302538,major,148413,,,,,,
1151063368,normal,1151302580,major,148421,,,,,,
1143646247,normal,1151302702,major,133941,,,,,,
1151307586,normal,1151310673,major,148645,,,,,,
1150275882,blocker,1151325583,normal,147068,,,,,,
1151371887,normal,1151371936,trivial,148776,,,,,,
1150221392,normal,1151423884,major,146951,,,,,,
1151029732,major,1151468643,blocker,148358,,,,,,
1151489609,major,1151491872,blocker,149033,,,,,,
1151757641,critical,1151812658,normal,149377,,,,,,
1152068027,major,1152068815,normal,149639,,,,,,
1151887105,critical,1152076612,normal,149426,,,,,,
1149838285,normal,1152132158,critical,146250,,,,,,
1148271858,major,1152156597,critical,142958,,,,,,
1149107011,critical,1152163926,major,144823,,,,,,
1152087052,enhancement,1152171807,minor,149672,,,,,,
1141361054,enhancement,1152255466,normal,130295,,,,,,
1148306415,major,1152339663,blocker,143061,,,,,,
1152682459,trivial,1152682528,normal,150365,,,,,,
1152698911,normal,1152698933,minor,150411,,,,,,
1152783482,critical,1152811261,normal,150523,,,,,,
1153385936,critical,1153419566,minor,151252,,,,,,
1153227432,blocker,1153471600,critical,150994,,,,,,
1153895506,major,1153981127,normal,151838,,,,,,
1152756772,critical,1154069044,normal,150482,,,,,,
1154000679,critical,1154077725,major,152035,,,,,,
1153731629,normal,1154079049,major,151592,,,,,,
1154085218,enhancement,1154095618,normal,152178,,,,,,
1146032876,normal,1154171772,major,138608,,,,,,
1154140794,normal,1154824973,major,152248,,,,,,
1154858979,normal,1155032553,major,152919,,,,,,
1155032249,enhancement,1155087229,normal,153110,,,,,,
1155619222,normal,1155622222,major,153888,,,,,,
1155740012,normal,1155743212,blocker,154161,1158224853,normal,,,,
1155816812,critical,1155817725,blocker,154271,,,,,,
1155894449,normal,1155930798,major,154364,,,,,,
1155306147,blocker,1156140721,major,153648,,,,,,
1156056623,major,1156152479,normal,154465,,,,,,
1156216796,normal,1156216964,blocker,154670,,,,,,
1156186054,normal,1156239718,critical,154634,,,,,,
1155205132,trivial,1156241050,normal,153463,,,,,,
1156249136,critical,1156259883,normal,154727,,,,,,
1156413944,minor,1156414105,normal,155060,,,,,,
1156425520,critical,1156428841,normal,155097,,,,,,
1156426150,critical,1156429240,major,155101,,,,,,
1155294755,major,1156430979,normal,153609,,,,,,
1156479495,normal,1156479600,major,155200,,,,,,
1156737867,critical,1156755488,major,155371,1156836006,critical,1157490716,normal,1174891771,major
1155779545,blocker,1156834356,normal,154184,,,,,,
1156854526,normal,1156857295,critical,155575,,,,,,
1156761895,normal,1156858500,major,155422,,,,,,
1156347715,critical,1157018541,blocker,154943,,,,,,
1157268828,major,1157333009,critical,156056,,,,,,
1154985125,major,1157368792,normal,153025,,,,,,
1153339874,normal,1157552313,major,151165,,,,,,
1157613359,critical,1157623851,major,156507,,,,,,
1154007532,major,1157629451,critical,152052,,,,,,
1157629087,minor,1157677160,trivial,156562,,,,,,
1157639920,normal,1157954568,minor,156604,,,,,,
1157529960,normal,1158206740,major,156357,,,,,,
1158209076,normal,1158209102,critical,157293,1207824609,normal,,,,
1153831422,normal,1158303077,major,151743,,,,,,
1147314814,normal,1158467334,major,141234,,,,,,
1158051316,major,1158517609,blocker,157044,,,,,,
1158554168,blocker,1158567360,major,157620,,,,,,
1158575811,normal,1158576406,major,157654,,,,,,
1158586820,normal,1158588143,blocker,157687,,,,,,
1158590918,blocker,1158591570,normal,157696,,,,,,
1158657893,normal,1158658828,minor,157842,,,,,,
1158668225,normal,1158668345,minor,157879,1174891612,major,,,,
1148647709,normal,1158680791,enhancement,144019,1178106586,normal,,,,
1158704294,normal,1158704425,minor,157940,,,,,,
1158736288,critical,1158741513,normal,157980,,,,,,
1158736823,critical,1158747982,normal,157985,,,,,,
1158824774,enhancement,1158827010,trivial,158144,,,,,,
1158596451,blocker,1159171305,normal,157708,,,,,,
1159134579,normal,1159188888,major,158498,,,,,,
1158954427,enhancement,1159189251,normal,158401,,,,,,
1159264855,normal,1159265063,major,158791,,,,,,
1147312906,major,1159412365,normal,141217,,,,,,
1159435877,normal,1159436889,major,159125,,,,,,
1159445932,critical,1159446252,major,159170,,,,,,
1156129543,enhancement,1159517660,normal,154505,1162573709,major,,,,
1144849113,normal,1159521188,critical,136436,,,,,,
1159736431,normal,1159771395,major,159425,,,,,,
1159435253,normal,1159781255,minor,159120,,,,,,
1150984471,normal,1159867820,major,148291,,,,,,
1159790962,major,1159947740,normal,159480,,,,,,
1159956696,normal,1159965451,critical,159748,,,,,,
1160671088,major,1160672008,normal,160767,,,,,,
1160735141,normal,1160735271,major,160895,,,,,,
1161039802,normal,1161040297,critical,161182,,,,,,
1161077504,major,1161079029,blocker,161263,1161079599,critical,,,,
1161197473,major,1161261510,normal,161498,,,,,,
1160849565,normal,1161590990,major,160969,,,,,,
1153471332,normal,1161592229,major,151411,,,,,,
1154999833,normal,1161785214,major,153037,1162197399,normal,,,,
1161789801,normal,1161789814,major,162320,,,,,,
1161839403,normal,1161868885,minor,162382,,,,,,
1161835646,normal,1161918707,minor,162373,,,,,,
1161702936,normal,1161939552,critical,162146,,,,,,
1161948307,normal,1161948687,blocker,162598,,,,,,
1147893553,normal,1161957960,major,142385,,,,,,
1162219800,normal,1162265801,major,162802,,,,,,
1162231194,normal,1162283080,major,162816,,,,,,
1161855452,normal,1162375042,major,162414,,,,,,
1162373051,major,1162396366,normal,163078,1166692672,major,,,,
1162203883,normal,1162566528,major,162763,1162570797,normal,1162906966,minor,,
1162648667,normal,1162890708,major,163455,,,,,,
1161313986,major,1162978375,critical,161701,,,,,,
1160123529,normal,1162995656,major,160022,,,,,,
1163059840,normal,1163060110,critical,163950,,,,,,
1142466437,major,1163064900,normal,132093,,,,,,
1161857883,normal,1163076104,major,162429,,,,,,
1163066606,normal,1163079865,major,163968,,,,,,
1163474450,normal,1163474730,critical,164441,,,,,,
1163502381,normal,1163502437,major,164496,,,,,,
1163569998,normal,1163570020,trivial,164620,,,,,,
1163676105,normal,1163682524,minor,164841,,,,,,
1163773763,blocker,1163780403,major,165032,,,,,,
1164037745,critical,1164038510,normal,165227,,,,,,
1164169711,critical,1164180584,major,165431,,,,,,
1164087996,normal,1164272972,minor,165298,,,,,,
1164342397,normal,1164347328,major,165763,,,,,,
1163605612,normal,1164369734,critical,164711,,,,,,
1164599177,normal,1164709053,major,165892,,,,,,
1163245099,enhancement,1164715497,normal,164222,,,,,,
1164721556,normal,1164721575,major,166105,,,,,,
1164711771,normal,1164797338,major,166081,,,,,,
1164803478,critical,1164803540,major,166236,,,,,,
1165282466,normal,1165282599,major,166749,,,,,,
1165280576,normal,1165282652,major,166745,,,,,,
1165277370,normal,1165282694,major,166743,,,,,,
1165283123,normal,1165283231,major,166751,,,,,,
1165283534,normal,1165283545,major,166752,,,,,,
1145004608,normal,1165284776,major,136847,,,,,,
1165339379,normal,1165339401,major,166877,,,,,,
1155703390,normal,1165380776,critical,154036,,,,,,
1164959704,major,1165459315,critical,166481,,,,,,
1163563600,major,1165799071,blocker,164611,,,,,,
1165915956,normal,1165921699,major,167656,,,,,,
1165932618,normal,1165934101,major,167729,,,,,,
1165942037,normal,1165996159,major,167754,,,,,,
1151652374,normal,1166013391,critical,149300,1166028743,major,,,,
1166096196,major,1166099341,normal,168093,,,,,,
1166506015,normal,1166506273,major,168525,,,,,,
1160754034,normal,1166528992,major,160939,,,,,,
1166601158,normal,1166601643,trivial,168681,,,,,,
1166611959,normal,1166612003,trivial,168733,,,,,,
1167401417,normal,1167819279,major,169255,,,,,,
1167920255,major,1167937014,normal,169587,,,,,,
1167988870,normal,1167992517,major,169694,,,,,,
1147101951,normal,1168004373,major,140697,,,,,,
1168246469,normal,1168247373,enhancement,169838,1180495535,minor,,,,
1167826097,major,1168349347,critical,169458,,,,,,
1165834280,normal,1168419383,major,167452,,,,,,
1158934971,major,1168419785,normal,158385,,,,,,
