update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what,update/5/when,update/5/what
1219319488,Memory leak in DeltaProcessingState#externalTimeStamps ?,1220327319,[implementation] Memory leak in DeltaProcessingState#externalTimeStamps ?,244849,,,,,,,,
1219930094,No error message for updating read-only .classpath file,1220327571,[buildpath] No error message for updating read-only .classpath file,245576,,,,,,,,
1219201920,code assist occasionally fails with non-English locale,1220344681,[content assist] code assist occasionally fails with non-English locale,244667,,,,,,,,
1220372346,BatchCompilerTest#test063 fails in the IDE,1220380076,[compiler] BatchCompilerTest#test063 fails in the IDE,246020,,,,,,,,
1220419483,Multiline method invocation with comment at the end of line causes invalid parameters content assist behaviour,1220422928,[content assist] Multiline method invocation with comment at the end of line causes invalid parameters content assist behaviour,246070,,,,,,,,
1218374847,StackOverflowError on Content Assist,1220429359,[templates] StackOverflowError on Content Assist,243691,,,,,,,,
1203945177,[jar application] ANT build file does not create Class-Path Entry in Manifest,1220501893,[jar exporter] ANT build file does not create Class-Path Entry in Manifest,220257,,,,,,,,
1220577053,[content assist] Hint background color makes the text invisible,1220577930,[hovering] Hint background color makes the text invisible,246327,,,,,,,,
1220777379,Cant follow links in javadoc hover (Online java 6 api),1220838698,[hovering] Can't follow links in Javadoc hover (Online java 6 api),246490,,,,,,,,
1220777597,Javadoc hover as no dash added in @param tags,1220841166,[misc] Javadoc hover as no dash added in @param tags,246492,,,,,,,,
1220805622,ArrayIndexOutOfBoundsException is thrown by SignatureUtil.getUpperBound,1220855870,[content assist] ArrayIndexOutOfBoundsException is thrown by SignatureUtil.getUpperBound,246501,,,,,,,,
1220690713,JavaDoc export wizard generates a wrong classpath option,1220861589,[javadoc wizard] Javadoc export wizard generates a wrong classpath option,246464,,,,,,,,
1220944827,Unexpected warning about missing parameter doc in case of @inheritDoc,1220947230,[javadoc] Unexpected warning about missing parameter doc in case of @inheritDoc,246712,,,,,,,,
1220946061,[Javadoc] Missing description is warned if valid description is on a new line,1220948482,[Javadoc] Missing description is warned if the @param tag description starts with {@link,246715,,,,,,,,
1220941546,"Couldn't ""Show Source of Selected Element Only"" be a per window setting?",1220957804,"[preferences] Couldn't ""Show Source of Selected Element Only"" be a per window setting?",246704,,,,,,,,
1220880247,Add project screen shows added projects,1220957871,[build path] Add project screen shows added projects,246635,,,,,,,,
1220944529,User Library Lost  in eclipse 3.4,1221014085,[buildpath] User Library Lost  in eclipse 3.4,246711,,,,,,,,
1221094766,Should add API co,1221094949,Add API compatibility filter for ITypeRoot,246955,,,,,,,,
