update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what
1204883905,normal,,,221874,,,,,,
1204885536,normal,,,221877,,,,,,
1204900116,normal,,,221911,,,,,,
1204902446,major,,,221920,,,,,,
1204902854,normal,,,221923,,,,,,
1205142671,normal,,,222066,,,,,,
1205161042,normal,,,222113,,,,,,
1205223437,normal,,,222219,,,,,,
1205239540,normal,,,222277,,,,,,
1205247772,normal,,,222300,,,,,,
1205323077,normal,,,222441,,,,,,
1205323170,normal,,,222442,,,,,,
1205354672,normal,,,222508,,,,,,
1205413087,normal,,,222625,,,,,,
1205416772,normal,,,222641,,,,,,
1205420600,normal,,,222654,,,,,,
1205423635,normal,,,222666,,,,,,
1205487449,normal,,,222753,,,,,,
1205499405,normal,,,222779,,,,,,
1205503372,normal,,,222800,,,,,,
1205511358,normal,,,222816,,,,,,
1205678403,normal,,,222905,,,,,,
1205773767,normal,,,223017,,,,,,
1205773868,normal,,,223018,,,,,,
1205836176,normal,,,223093,,,,,,
1205918414,normal,,,223194,,,,,,
1206034532,normal,,,223439,,,,,,
1206354720,normal,,,223663,,,,,,
1206355163,major,,,223666,,,,,,
1206355306,major,,,223667,,,,,,
1206356389,normal,,,223673,,,,,,
1206356662,normal,,,223674,,,,,,
1206439002,normal,,,223845,,,,,,
1206453024,normal,,,223946,,,,,,
1206569739,normal,,,224283,,,,,,
1206569847,normal,,,224284,,,,,,
1206610173,normal,,,224375,,,,,,
1206611379,normal,,,224383,,,,,,
1206628119,normal,,,224447,,,,,,
1206628222,normal,,,224448,,,,,,
1206630144,normal,,,224456,,,,,,
1206697840,major,,,224636,,,,,,
1206698070,minor,,,224637,,,,,,
1206699994,normal,,,224648,,,,,,
1206707310,normal,,,224685,,,,,,
1206712720,normal,,,224713,,,,,,
1206712967,normal,,,224716,,,,,,
1206713512,normal,,,224719,,,,,,
1206951546,normal,,,224903,,,,,,
1206951693,normal,,,224904,,,,,,
1206969095,normal,,,224969,,,,,,
1206970326,normal,,,224972,,,,,,
1206973576,normal,,,224983,,,,,,
1206973899,normal,,,224987,,,,,,
1206974048,normal,,,224988,,,,,,
1206975699,normal,,,224994,,,,,,
1207002143,normal,,,225039,,,,,,
1207038707,normal,,,225108,,,,,,
1207039652,normal,,,225112,,,,,,
1207039698,normal,,,225113,,,,,,
1207041904,normal,,,225131,,,,,,
1207042112,normal,,,225133,,,,,,
1207042400,normal,,,225135,,,,,,
1207043020,normal,,,225138,,,,,,
1207043223,normal,,,225141,,,,,,
1207044230,normal,,,225144,,,,,,
1207044419,normal,,,225146,,,,,,
1207049832,normal,,,225163,,,,,,
1207050073,normal,,,225164,,,,,,
1207053323,normal,,,225174,,,,,,
1207053418,normal,,,225176,,,,,,
1207055389,major,,,225181,,,,,,
1207056409,normal,,,225186,,,,,,
1207113540,normal,,,225306,,,,,,
1207133663,normal,,,225374,,,,,,
1207140402,normal,,,225397,,,,,,
1207142614,normal,,,225408,,,,,,
1207149311,normal,,,225433,,,,,,
1207165040,normal,,,225461,,,,,,
1207165343,normal,,,225463,,,,,,
1207167687,normal,,,225469,,,,,,
1207169381,normal,,,225473,,,,,,
1207169697,normal,,,225475,,,,,,
1207195487,normal,,,225517,,,,,,
1207196552,normal,,,225521,,,,,,
1207197798,normal,,,225525,,,,,,
1207198900,normal,,,225529,,,,,,
1207218314,normal,,,225595,,,,,,
1207226488,normal,,,225622,,,,,,
1207299423,normal,,,225756,,,,,,
1207317179,normal,,,225826,,,,,,
1207318543,normal,,,225833,,,,,,
1207411072,normal,,,225886,,,,,,
