update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what
1179732986,minor,1179745079,normal,188092,,,,
1179797532,normal,1179797625,trivial,188229,,,,
1179820322,normal,1179822075,trivial,188313,,,,
1180010652,major,1180011098,normal,189001,,,,
1178808273,major,1180326708,normal,186457,,,,
1180180772,normal,1180407290,minor,189294,,,,
1180411196,normal,1180418278,minor,189627,,,,
1180243702,critical,1180582652,normal,189314,,,,
1164474827,blocker,1180600089,major,165850,,,,
1180671642,major,1180674769,normal,190437,,,,
1180689845,normal,1180689900,major,190493,,,,
1181259748,normal,1181303941,major,191639,,,,
1182180902,blocker,1182182654,critical,193210,,,,
1180953305,enhancement,1182327657,normal,190842,,,,
1180952789,enhancement,1182327716,normal,190840,,,,
1168491196,enhancement,1182491534,normal,170197,,,,
1183027012,normal,1183098668,minor,194806,,,,
1180526421,normal,1183366520,major,189987,,,,
1183391487,major,1183468334,critical,195185,1183543451,normal,1184839269,major
1181352285,major,1183541888,normal,191804,,,,
1181014237,normal,1184035851,major,190987,,,,
1178684888,normal,1184053151,major,186114,,,,
1178763700,normal,1184135389,minor,186311,,,,
1184173555,trivial,1184204660,normal,196245,1184565487,minor,,
1184225427,normal,1184231780,minor,196310,,,,
1184224704,normal,1184554809,major,196305,,,,
1184342638,normal,1184555879,major,196514,,,,
1184308471,enhancement,1184556991,normal,196446,,,,
1184648053,normal,1184650928,major,196797,,,,
1183685650,normal,1184652569,major,195624,,,,
1184644270,normal,1184657629,minor,196793,,,,
1180414594,minor,1184669712,normal,189638,,,,
1184667119,normal,1184673363,minor,196835,,,,
1184948158,critical,1185194106,normal,197350,,,,
1186030994,normal,1186043712,major,198648,,,,
1186305164,normal,1186364370,major,198890,,,,
1185869331,major,1186387368,blocker,198399,,,,
1186469984,normal,1186477835,major,199072,,,,
1172734701,normal,1186646454,major,176017,,,,
1186653076,critical,1186654173,normal,199452,,,,
1186892054,normal,1186892277,major,199668,,,,
1187097736,enhancement,1187097848,normal,199942,,,,
1187181762,normal,1187234803,critical,200080,,,,
1187337034,major,1187337543,normal,200358,,,,
1187175151,normal,1187673543,major,200067,,,,
1188468497,normal,1188522760,major,201761,,,,
1189066151,normal,1189067471,minor,202452,,,,
1189057916,minor,1189069889,trivial,202426,,,,
1189076964,major,1189078076,normal,202495,,,,
1189576421,normal,1189577306,minor,203057,,,,
1189590100,normal,1189734773,minor,203089,,,,
1190088848,normal,1190089418,trivial,203720,,,,
1190097143,normal,1190097180,minor,203748,,,,
1190076954,normal,1190108409,major,203687,1190120833,normal,,
1190779496,normal,1190780277,minor,204662,,,,
1191224140,normal,1191224190,minor,205052,,,,
1191588799,normal,1191810166,major,205600,,,,
1191970696,blocker,1192094233,normal,205890,,,,
1179050564,minor,1192684573,normal,186720,,,,
1193117511,normal,1193117820,blocker,207146,,,,
1193637936,normal,1193639674,major,207754,,,,
1193410217,normal,1193652527,major,207631,,,,
1193733760,normal,1193733810,minor,207979,,,,
1193729443,minor,1193737579,normal,207965,,,,
1193739054,normal,1193745310,minor,208018,,,,
1194241884,normal,1194319594,major,208752,,,,
1178792869,normal,1194416554,major,186410,,,,
1194867859,normal,1194867893,minor,209529,,,,
1195788516,critical,1195809273,normal,210728,,,,
1196279945,critical,1196318699,major,211366,,,,
1196342016,enhancement,1196342070,normal,211491,,,,
1196746233,critical,1196746490,normal,211864,,,,
1167742412,normal,1196958396,major,169359,,,,
1196140241,normal,1197256751,trivial,211045,,,,
1197014083,minor,1197257618,trivial,212263,,,,
1197362080,normal,1197364955,trivial,212545,1197365415,normal,1197365968,trivial
1197362270,normal,1197365603,trivial,212548,,,,
1197454023,normal,1197454609,critical,212769,,,,
1192185369,blocker,1197547851,normal,206165,,,,
1197897823,critical,1197900180,normal,213215,,,,
1188288530,normal,1197943834,major,201424,,,,
1197918491,normal,1197949270,major,213248,,,,
1199425889,normal,1199677285,major,214340,,,,
1198062113,normal,1199706781,major,213488,,,,
1199771031,minor,1199845271,normal,214604,,,,
1186476288,normal,1199868270,major,199084,,,,
1199865238,blocker,1199868330,major,214744,,,,
1200246554,normal,1200286606,minor,215161,1216002799,normal,,
1200764463,enhancement,1200892708,trivial,215898,,,,
1189073775,normal,1201067432,major,202490,,,,
1201064959,normal,1201166256,major,216254,,,,
1196134364,normal,1201492102,major,211037,,,,
1201605323,normal,1201605583,major,216939,1201607026,normal,,
1201627194,minor,1201690150,normal,217011,,,,
1202124961,major,1202125141,normal,217710,,,,
1202184173,normal,1202184406,major,217800,,,,
1202206362,normal,1202206475,major,217852,,,,
1202207003,normal,1202207019,major,217855,1202313060,normal,,
1202333784,normal,1202362886,trivial,218121,,,,
1202467756,major,1202699328,normal,218339,,,,
1202733961,normal,1202780334,major,218542,,,,
1202843954,normal,1202868422,minor,218730,,,,
1198052157,normal,1203064651,major,213455,,,,
1203415162,normal,1203416059,major,219449,,,,
1203422672,normal,1203477247,major,219478,,,,
1203488184,normal,1203491633,major,219581,,,,
1203500868,normal,1203563459,trivial,219608,,,,
1203502508,trivial,1203564323,normal,219614,,,,
1203945177,normal,1203945457,enhancement,220257,1205228470,minor,,
1204146807,normal,1204174688,trivial,220693,,,,
1204258935,normal,1204259101,trivial,220910,,,,
1205306030,normal,1205306187,critical,222395,1205308742,normal,1205308795,critical
1202360250,normal,1205384896,minor,218151,,,,
1204798099,major,1205406619,critical,221680,,,,
1205507400,normal,1205555516,minor,222814,,,,
1205500785,normal,1205557300,trivial,222786,,,,
1187170933,minor,1205758152,normal,200055,,,,
1205832289,normal,1205833731,trivial,223083,,,,
1205997793,normal,1206001114,minor,223340,,,,
1205941785,critical,1206039266,normal,223253,,,,
1206117409,major,1206121231,normal,223530,,,,
1206337758,normal,1206353694,minor,223626,,,,
1206381976,normal,1206381998,major,223743,,,,
1206428744,critical,1206432155,trivial,223811,,,,
1206446900,normal,1206447693,trivial,223904,,,,
1206457010,normal,1206497333,minor,223965,,,,
1206453101,normal,1206498787,trivial,223947,,,,
1206458654,normal,1206499887,trivial,223972,,,,
1206491133,normal,1206501524,minor,224038,,,,
1206452268,normal,1206502040,trivial,223938,,,,
1206442889,normal,1206537915,critical,223878,,,,
1205848230,major,1206542071,normal,223112,,,,
1206615309,major,1206621022,normal,224402,,,,
1206630745,critical,1206633339,normal,224458,,,,
1207189286,normal,1207191823,minor,225498,,,,
1207567249,trivial,1207569142,normal,226003,,,,
1207134338,normal,1207727632,major,225377,,,,
1206360090,trivial,1207803822,normal,223685,,,,
1172196012,blocker,1207805652,major,175226,,,,
1208453970,normal,1208478190,trivial,227683,,,,
1208454336,normal,1208478493,trivial,227684,,,,
1208488136,enhancement,1208499685,normal,227730,,,,
1208394271,normal,1208502850,major,227482,,,,
1208949495,normal,1208957571,major,228464,,,,
1198727342,normal,1209003085,major,213918,,,,
1208560311,major,1209007948,minor,227876,,,,
1209019474,normal,1209019498,major,228659,,,,
1209368653,normal,1209368787,major,229031,,,,
1184134853,normal,1209458356,major,196140,,,,
1209893159,normal,1209957876,major,230127,1209958873,critical,,
1209966803,major,1209977219,normal,230186,,,,
1210123536,normal,1210123689,major,230827,,,,
1209370566,normal,1210128731,trivial,229058,,,,
1210132741,normal,1210148561,trivial,230857,,,,
1208943780,normal,1210316658,major,228445,,,,
1210299926,normal,1210317523,major,231263,,,,
1210582110,normal,1210646552,major,231575,,,,
1211181644,trivial,1211183094,normal,232788,,,,
1208964556,critical,1211341145,major,228529,,,,
1210160310,normal,1211461087,critical,230944,,,,
1212308420,major,1212311441,minor,235021,,,,
1212246057,normal,1212399959,minor,235004,,,,
1210497512,blocker,1212470515,major,231462,,,,
1212070627,normal,1212476497,blocker,234718,,,,
1212572221,major,1212575274,critical,235623,,,,
1212598740,normal,1212633035,trivial,235727,,,,
1212568250,normal,1212661743,major,235605,,,,
1196397802,normal,1212716712,major,211578,,,,
1212984837,normal,1213064294,major,236224,,,,
1210993906,normal,1213069538,major,232646,1213084008,normal,,
